,Mean Acc,Std Acc
kurtosis_mfcc10,0.6309523809523809,0.009960238411119938
skew_mfcc4,0.6321428571428571,0.00874817765279706
skew_mfcc16,0.6333333333333333,0.004761904761904745
skew_mfcc8,0.6345238095238095,0.004761904761904784
skew_mfcc19,0.6369047619047619,0.0065205066369662815
var_mfcc6,0.6440476190476191,0.00789672569132239
kurtosis_mfcc16,0.6464285714285715,0.006070261325705709
max_mfcc14,0.6476190476190476,0.004454354031873724
min_spec_cont,0.65,0.002380952380952372
25thpercentile_mel_spect,0.65,0.002380952380952372
median_mel_spect,0.65,0.002380952380952372
min_mel_spect,0.65,0.002380952380952372
25thpercentile_chroma_stft,0.65,0.002380952380952372
25thpercentile_rms,0.65,0.002380952380952372
mean_tonnetz,0.65,0.002380952380952372
min_zcr,0.65,0.002380952380952372
skew_mfcc14,0.6476190476190476,0.002380952380952372
median_chroma_stft,0.6511904761904762,0.009671474291233285
skew_mfcc17,0.6464285714285715,0.0029160592175990112
var_mfcc14,0.6511904761904762,0.0071428571428571175
kurtosis_mfcc18,0.6571428571428571,0.011040022018447258
min_mfcc14,0.6595238095238095,0.009523809523809521
kurtosis_mfcc17,0.6595238095238095,0.004454354031873724
75thpercentile_mfcc12,0.6654761904761904,0.008748177652797085
kurtosis_mfcc2,0.6654761904761906,0.006941609398625379
kurtosis_mfcc20,0.669047619047619,0.009671474291233296
skew_mfcc20,0.669047619047619,0.007142857142857169
median_mfcc19,0.6678571428571428,0.004454354031873772
kurtosis_mfcc6,0.6726190476190477,0.00532397137499953
kurtosis_mfcc7,0.675,0.009671474291233285
median_mfcc20,0.6749999999999999,0.009671474291233304
skew_mfcc13,0.6749999999999999,0.010378330817953996
var_mfcc10,0.6738095238095237,0.009523809523809537
max_mfcc8,0.6714285714285715,0.006941609398625383
max_mfcc19,0.6761904761904761,0.011040022018447278
var_mel_spect,0.6797619047619048,0.008748177652797066
skew_mfcc10,0.680952380952381,0.008074202360863425
skew_mfcc15,0.6785714285714285,0.0053239713749994805
kurtosis_mfcc12,0.6773809523809524,0.0058321184351980224
skew_mfcc5,0.6726190476190477,0.0037646162621052352
var_mfcc11,0.6678571428571428,0.004454354031873772
spikes_mfcc4,0.6678571428571428,0.006941609398625383
max_mfcc10,0.6619047619047619,0.004454354031873724
kurtosis_mfcc15,0.6642857142857143,0.00890870806374749
max_mfcc5,0.669047619047619,0.007142857142857169
max_mfcc3,0.6714285714285714,0.005832118435198062
kurtosis_mfcc4,0.6630952380952381,0.0029160592175990112
mean_mfcc16,0.6702380952380953,0.008908708063747495
var_mfcc15,0.669047619047619,0.008074202360863428
skew_mfcc18,0.669047619047619,0.009671474291233296
var_mfcc8,0.6702380952380952,0.004761904761904794
kurtosis_mfcc9,0.6749999999999999,0.00890870806374749
skew_mfcc6,0.6702380952380953,0.011664236870396099
var_mfcc9,0.6619047619047619,0.006941609398625368
kurtosis_mfcc19,0.6738095238095237,0.009523809523809537
max_spec_cont,0.6773809523809524,0.008748177652797074
kurtosis_mfcc5,0.6738095238095237,0.00952380952380954
median_zcr,0.6690476190476191,0.004761904761904794
75thpercentile_mfcc17,0.6583333333333333,0.006070261325705675
median_mfcc4,0.6619047619047619,0.002380952380952372
max_mfcc7,0.6571428571428571,0.0029160592175990112
skew_mfcc12,0.6464285714285715,0.004761904761904745
max_tonnetz,0.6428571428571429,0.0
max_mfcc12,0.6404761904761904,0.007142857142857169
kurtosis_mfcc11,0.6416666666666667,0.004454354031873772
kurtosis_mfcc13,0.6428571428571429,0.007529232524210435
kurtosis_mfcc3,0.6392857142857142,0.006070261325705722
var_mfcc13,0.6321428571428571,0.008748177652797074
var_mfcc4,0.6261904761904762,0.006941609398625333
var_mfcc12,0.6261904761904762,0.007896725691322352
var_mfcc5,0.6178571428571429,0.006941609398625368
kurtosis_mfcc8,0.611904761904762,0.007896725691322395
skew_mfcc3,0.6107142857142858,0.01225670254879405
kurtosis_mfcc14,0.605952380952381,0.006941609398625379
75thpercentile_mfcc19,0.6011904761904762,0.009960238411119938
max_mfcc13,0.6035714285714285,0.010378330817953968
max_mfcc6,0.5964285714285713,0.011542094898610303
max_mfcc9,0.5916666666666666,0.011040022018447256
skew_mfcc9,0.5857142857142856,0.014384578539993528
75thpercentile_tonnetz,0.5797619047619048,0.013363062095621216
mean_mfcc15,0.5702380952380952,0.014285714285714275
var_spec_cont,0.5535714285714286,0.01304101327393253
75thpercentile_spec_cent,0.5452380952380952,0.01282182096936787
median_mfcc18,0.5285714285714286,0.012710807442894417
max_mfcc11,0.5333333333333333,0.01708654773143729
var_mfcc7,0.5214285714285715,0.018288442256830014
var_mfcc2,0.5107142857142858,0.01781741612749498
skew_mfcc7,0.5011904761904762,0.014773421007131981
var_spec_bw,0.47738095238095235,0.007896725691322375
var_mfcc3,0.45357142857142857,0.017003401020340127
skew_mfcc11,0.44523809523809527,0.026989962020844374
var_mfcc1,0.37142857142857144,0.032515476866065866
